customer,domain,file_id,file_name,deal_name,deal_closedate,pdf_credit_usd,csv_credit_usd,pdf_minutes,csv_minutes,pdf_concurrent,csv_concurrent,pdf_monthly_builds,csv_monthly_builds,pdf_timeout_hours,csv_timeout_hours,pdf_unlimited,evidence_quote,delta_flag,error
AGL,agl.com.au,192308344608,AGL_Expo_OrderForm (1),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Abacus,abacus.ai,211112453403,04_15_25_Abacus.ai_Expo_Order_Form_FULLY_EXECUTED.docx,,,10000,10000,,,5,5,,,,,,"EAS Build ... Up to $10,000 Monthly Credit $120,000; 5 Concurrencies",,
Abacus,abacus.ai,211112440970,04_15_25_Abacus.ai_Expo_Order_Form_FULLY_EXECUTED.docx-1,,,10000,10000,,,5,5,,,,,False,"EAS Build... Up to $10,000 Monthly Credit $120,000; 5 Concurrencies",,
Academy Sports + Outdoors,academy.com,211871700147,"650INDUST-SOW-2026-42668 - Renewal 2026 - 650 Industries, Inc. - Code Push - Expo EAS Order Form- SaaS (2026 - 2027 Subscription)-1",,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Academy Sports + Outdoors,academy.com,196862906201,"650INDUST-SOW--39450  650 Industries, Inc. - Expo Software Order Form (2024 - 2025 Subscription) - signed - package",,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Academy Sports + Outdoors,academy.com,191227119703,"650INDUST-SOW--39450  650 Industries, Inc. - Expo Software Order Form (2024 - 2025 Subscription) - signed",,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Affirm,affirm.com,196459574832,Affirm Order Form -1,,,67700,,50000,50000,50,50,,1000,,,False,First 3 Months: 50k Minutes @$.06/minute → $3K/month; Up to 50 Concurrencies $600/concurrency,,
Affirm,affirm.com,201462426188,Expo_MSA_and_Order_Form_for_signature,,,67700,,50000,50000,50,50,,1000,,,False,First 3 Months: 50k Minutes @$.06/minute → $3K/month ($9k); Up to 50 Concurrencies $600/concurrency,,
Affirm,affirm.com,196353524052,Affirm Order Form ,,,67700,,50000,50000,50,50,,1000,,,False,First 3 Months: 50k Minutes @$.06/minute → $3K/month; Up to 50 Concurrencies $600/concurrency,,
Affirm,affirm.com,201480651043,Expo_MSA_and_Order_Form_for_signature-1,,,67700,,50000,50000,50,50,,1000,,,False,First 3 Months: 50k Minutes @$.06/minute → $3K/month ($9k); Up to 50 Concurrencies $600/concurrency,,
Affirm,affirm.com,196459575584,Affirm Order Form -2,,,67700,,50000,50000,50,50,,1000,,,False,First 3 Months: 50k Minutes @$.06/minute → $3K/month; Up to 50 Concurrencies $600/concurrency,,
Alinma,alinma.com,195762336002,Expo Subsciption Agreement (1),,,,,,,,,,,,,,"Expo's hosted service for building app binaries for Expo and React Native projects (""EAS Build"")",,
Alinma,alinma.com,195762014512,Expo Order Form (1),,,,,,,,,,,,,,EAS Build - Make Android and iOS builds you can share with your team and submit to the app stores. N/A,,
Altruist,altruist.com,191765443449,Altruist_Expo_OrderForm_(1),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Arbox,arboxapp.com,210840506435,04-09-26_Arbox_App_Order_Form_FULLY_EXECUTED,,,225,225,,,2,2,,,,,False,Up to $225 Monthly Build Credit Up to 2 Concurrencies,,
Arbox,arboxapp.com,210848266036,04-09-26_Arbox_App_Order_Form_FULLY_EXECUTED-1,,,225,225,,,2,2,,,,,False,Up to $225 Monthly Build Credit Up to 2 Concurrencies,,
Brex,brex.com,203030390701,"SOW or Order Form (650 Industries, Inc. (Expo) and Brex)",,,1800,999,,,10,5,,,,2.0,False,"Up to $1,800 Monthly Credit Up to 10 Concurrencies","DIFF:credit_usd,concurrent",
CAVA,cava.com,210215186086,"03-06-26_FULLY_EXECUTED_MSA (650 Industries, Inc. (Expo) and CAVA)",,,,999,,,,5,,,,,,"Expo's hosted service for building app binaries for Expo and React Native projects (""EAS Build"")",,
CAVA,cava.com,210219590050,3_30_26_FULLY_EXECUTED_CAVA_Order Form,,,999,999,,,5,5,,,,,False,Up to $999 Monthly Credit Up to 5 Concurrencies,,
Caesars Entertainment,caesars.com,207472704334,Master Provider Agreement (650 INDUSTRIES INC and Caesars Entertainment) IC-126172,,,,999,,,,5,,,,,,"Services covered by this SLA are EAS Build, EAS Submit, and the Enterprise Support Add-on.",,
Coursera,coursera.org,194712293716,Software Agreement with 650 Industries Inc. (Expo) New Subscription (2025-26) (68949d84ad) (1),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
E.ON,eon.com,209930285417,650 Industries_Expo-EON - Expo Order Form_DEC-PO-851483 - signed (3),,,225,225,,,2,2,,,,,False,Up to $225 Monthly Build Credit Up to 2 Concurrencies,,
Etoro,etoro.com,205402597955,Expo_Master_Services_Agreement_(MSA)____Etoro_V6,,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Etoro,etoro.com,205578157133,Expo Master Services Agreement (MSA) __ Etoro V6 (1),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Finnair,finnair.com,202880866479,Expo Master Services Agreement (MSA) __ Finnair V5 (1),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
First Horizon Bank,firsthorizon.com,207470610078,Contract_4586_Expo_Subscription_Agreement_f,,,,859,,,,2,,,,,,"Expo's hosted service for building app binaries for Expo and React Native projects (""EAS Build"")",,
First Horizon Bank,firsthorizon.com,208415471491,Expo - 12 mo Order Form 2026-27 - (signed by QH) (1)-1,,,859,859,,,2,2,,,,,False,Up to $859 Monthly Build Credit Up to 2 Concurrencies,,
Flagstone,flagstoneim.com,199940421441,Expo_FLAGSTONE_OrderForm26 (1),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Credit Up to 5 Concurrencies,,
Function Health,functionhealth.com,193555553841,Final - Expo Subscription Agreement - 7.28.25 .docx,,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Hbf Health,hbf.com.au,211069770241,Expo Master Services Agreement (MSA) __  HBF Health Executed,,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
KICK,kick.com,192702798885,Kick_Expo_MSA_51525_cleanversion.docx (1),,,999,999,,,5,5,,,,,False,$999/Monthly Build Credit Up to 5 Concurrencies,,
Kingfisher plc,kingfisher.com,209792569971,Screwfix_Expo Master Services Agreement (MSA) V2 (1),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit / Up to 5 Concurrencies,,
Metamask,metamask.com,210276102720,Metamask_Master_Services_Agreement_MSA (1),,,,999,,,,5,,,,,,EAS Build ... Up to $999 Monthly Build Credit Up to 5 Concurrencies N/A,,
Moneygram,moneygram.com,195094984077,MoneyGram_Expo_MSA_MG edits 08.08.2025 - (Expo for MoneyGram 8.18.25) - Execution.docx,,,1000,1000,,,5,5,,,,,False,Up to $1000 Monthly Build Credit Up to 5 Concurrencies,,
National Disability Insurance Agency,ndis.gov.au,197852512569,NDIA_Expo_Order_Form_and_ESA_-_18.10.25.docx_-_Signed_20251020-084.pdf,,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
National Football League (NFL),nfl.com,207932008600,EXPONFL_Contract_NFL004529,,,999,999,,,5,5,,,2,2.0,False,EAS Build: - $999 of Build credit per month - 5 Concurrencies - Queue Priority - Build Timeouts = 2 hours,,
Newton.Co,newton.co,204438097777,Expo Master Services Agreement (MSA) __ Newton.co 1-7-26 (1),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Pepperstone,pepperstone.com,201816875374,Pepperstone_Expo_OrderForm 05122025-1,,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Pepperstone,pepperstone.com,201816939444,Pepperstone_Expo_OrderForm 05122025,,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Phantom,phantom.app,200230646444,Phantom_Expo_Concurrences OrderForm V2 (1),,,,4750,,,5,5,,,,,,"EAS Build Concurrency The number of builds or submissions that can run at the same time. 5 Additional Concurrencies $3,000",,
Phantom,phantom.app,194017943865,Phantom_Expo_OrderForm (4) (1),,,4750,4750,,,10,5,,,,,,"EAS Build ... Up to $4,750/Monthly Build Credit ... EAS Build Concurrency ... 10 Concurrencies (5 Included)",DIFF:concurrent,
PrizePicks,prizepicks.com,201404358153,PrizePicks_Expo_Master_Services_Agreement_(MSA) FINAL.docx,,,999,999,,,5,10,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,DIFF:concurrent,
Quantum Health,quantum-health.com,208394258248,Expo - 12 mo Order Form 2026-27 - (signed by QH) (1),,,859,859,,,2,2,,,,,False,Up to $859 Monthly Build Credit Up to 2 Concurrencies,,
Restaurant Brands International,rbi.com,193744449933,Popeyes_Expo_OrderForm–final (2),,,999,999,,,5,5,,,,,False,EAS Build ... Up to $999 of Monthly Credit 5 Concurrencies Included,,
Rippling,rippling.com,209264825518,Rippling_Expansion_Order_Form_-FINAL.pdf,,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Runna,runna.com,208454155860,Expo Runna Vendor Service Agreement - Order Form - 11-02-2026,,,999,999,,,5,5,,,,,False,Up to $999 Monthly Credit Up to 5 Concurrencies Included,,
Rvu,rvu.co.uk,192891565178,RVU_Expo_MSA_signed,,,999,999,,,5,5,,,,,False,EAS Build ... Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Shawbrook,shawbrook.co.uk,200088431509,Expo Master Services Agreement (MSA) __ Shawbrook V2 (1),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Shell,shell.com,195717327917,CW1000480_-_Shell_Energy_Australia_Expo_MSA_a,,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Slate Auto,slate.auto,193601048990,Slate_Expo_OrderForm (3) (1),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Slate Auto,slate.auto,194499776259,Slate_Expo_OrderForm (3),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
StubHub,stubhub.com,196151509801,Complete_with_Docusign_Stubhub_Expo_MSA_(Fin,,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
The D. E. Shaw Group,deshaw.com,194825831969,650 Industries - Expo Subscription Agreement REDLINE v09-v08 250818 (DES) (Expo for DES 8.18.25)_sig,,,3300,3300,,,10,10,,,,,False,"EAS Build ... Up to $3,300 Monthly Build Credit Up to 10 Concurrencies $39,000",,
The D. E. Shaw Group,deshaw.com,194825836840,650 Industries - Expo Subscription Agreement REDLINE v09-v08 250818 (DES) (Expo for DES 8.18.25)_sig-1,,,3300,3300,,,10,10,,,,,False,"Up to $3,300 Monthly Build Credit Up to 10 Concurrencies",,
Vsp Vision Care,vsp.com,197777637456,VSP_MSA_Signed,,,,1333,,,,5,,,,,,"Services covered by this SLA are EAS Build, EAS Submit, and the Enterprise Support Add-on.",,
Wealthsimple,wealthsimple.com,194015320351,Expo_MSA_and_Order_form.pdf (Wealthsimple),,,999,999,,,5,5,,,2,2.0,,EAS Build: - $999 of Build credit per month - 5 Concurrencies - Queue Priority - Build Timeouts = 2 hours,,
Zipline,flyzipline.com,192091748664,Complete_with_Docusign_FlyZipline_-_Expo_MSA,,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Zoetis,zoetis.com,191428156793,Zoetis_Expo_OrderForm (1),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
hims & hers,forhims.com,194017654034,"SaaS _ Software Agreement with 650 Industries, Inc. _ May 1, 2025 (fully signed) (1)",,,999,999,,,5,5,,,,,False,Up to $999 monthly build credit Up to 5 Concurrencies,,
